topology,algorithm,rate,blocking_probability,blocking_ci95,mean_bottleneck_fidelity,fidelity_ci95,mean_max_utilization,util_ci95,mean_hops,mean_distance_km,mean_decision_latency_ms,latency_ci95,total_runs
mesh9,distance,2,0.11052333333333333,0.001058612054817705,0.9701063386297187,2.2062411049488135e-05,0.5988975445771667,0.001037835680002509,1.78207,37.41808666666667,0.02,1.2627498450595217e-18,30
mesh9,keyaware,2,0.11052333333333333,0.001058612054817705,0.970237165061125,1.980321507830336e-05,0.5989584730826001,0.0010358654972990977,1.78207,37.418099999999995,0.05,5.050999380238087e-18,30
mesh9,random,2,0.10944,0.0011280735216929914,0.968776550103001,3.726510294626731e-05,0.7226614951844,0.0010465630917539017,4.17111,87.58373333333334,0.01,6.313749225297609e-19,30
mesh9,ga_tcheby_proxy,2,0.11017666666666666,0.0010289569084208398,0.9702636395237492,2.7187259046588524e-05,0.5983611742487,0.0010532978219783698,1.78299,37.43571333333333,0.5,0.0,30
mesh9,distance,5,0.25250666666666666,0.0018821240330299184,0.9685615601646114,3.4655533654863165e-05,0.48014101979513335,0.0015331514246860233,1.5051033333333335,31.592813333333332,0.02,1.2627498450595217e-18,30
mesh9,keyaware,5,0.25250666666666666,0.0018821240330299184,0.9688829823550336,3.182113100365249e-05,0.4802422158088,0.0015307801797322647,1.5051033333333335,31.592813333333332,0.05,5.050999380238087e-18,30
mesh9,random,5,0.25321,0.001380801424460848,0.9668345716967519,5.7406629311227626e-05,0.5873983623666333,0.0013414223971037068,3.45733,72.5894,0.01,6.313749225297609e-19,30
mesh9,ga_tcheby_proxy,5,0.25199666666666665,0.0017893376619164112,0.9688610727521155,4.5921547711144006e-05,0.47925952717416664,0.0013998649293449892,1.50306,31.54892,0.5,0.0,30
mesh9,distance,10,0.4430133333333333,0.0015580482660646224,0.9659749541033331,6.248546727678208e-05,0.3266799022317667,0.001314489569334063,1.1285033333333334,23.677266666666664,0.02,1.2627498450595217e-18,30
mesh9,keyaware,10,0.4430133333333333,0.0015580482660646224,0.9665570492974552,6.441355344450509e-05,0.3269266099527333,0.0013123185879158911,1.1285033333333334,23.67728,0.05,5.050999380238087e-18,30
mesh9,random,10,0.4416366666666667,0.001761005726056297,0.9638867549222343,5.548344599386478e-05,0.4141015097993,0.001607428575346566,2.53996,53.31287333333333,0.01,6.313749225297609e-19,30
mesh9,ga_tcheby_proxy,10,0.44255666666666665,0.0017475191709163903,0.9666326654436872,7.664501953261346e-05,0.3257048240162333,0.0014828349339799968,1.1274666666666666,23.655966666666664,0.5,0.0,30
mesh9,distance,20,0.6885533333333334,0.0018707297756864452,0.9612350717608276,0.00011788829345013418,0.14559557586083333,0.0013971571906577,0.6359499999999999,13.332993333333333,0.02,1.2627498450595217e-18,30
mesh9,keyaware,20,0.6885533333333334,0.0018707297756864452,0.9623081524221552,0.0001248208664540681,0.14583431523926665,0.0014129229880863502,0.6359499999999999,13.332993333333333,0.05,5.050999380238087e-18,30
mesh9,random,20,0.6885166666666667,0.0016455276743959839,0.9582163021953573,0.0001445874299755788,0.19721997529273333,0.0013936412666466127,1.3645433333333334,28.626833333333334,0.01,6.313749225297609e-19,30
mesh9,ga_tcheby_proxy,20,0.6897566666666666,0.0019523180415800389,0.9622557503126546,0.00012176685745130828,0.14377699918353332,0.0013566118673235396,0.6318966666666667,13.248053333333333,0.5,0.0,30
mesh9,distance,40,0.8972866666666667,0.0011407292643565274,0.9513152436435514,0.0003383183058535718,0.026256554042433333,0.0005202387071953711,0.21200333333333335,4.439313333333333,0.02,1.2627498450595217e-18,30
mesh9,keyaware,40,0.8972833333333334,0.001140549253985237,0.9528932401976977,0.00032228349026702015,0.026428433106333336,0.0005178367905492155,0.21201333333333333,4.43958,0.05,5.050999380238087e-18,30
mesh9,random,40,0.8977733333333333,0.0011096165962400412,0.9468288045986721,0.00024390276873324934,0.039960381571966665,0.0006587027280388169,0.4139,8.678066666666666,0.01,6.313749225297609e-19,30
mesh9,ga_tcheby_proxy,40,0.8977033333333334,0.001445822589499322,0.9527679316386933,0.0003463595002549183,0.025811250228466667,0.000661157943693086,0.2116566666666667,4.4334999999999996,0.5,0.0,30
mesh16,distance,2,0.12312333333333333,0.0011199054423685708,0.9717892429444127,2.6190015166010495e-05,0.5397557084708667,0.001076515470998954,2.3491933333333335,55.18908333333333,0.02,1.2627498450595217e-18,30
mesh16,keyaware,2,0.12312333333333333,0.0011199054423685708,0.9720683519388361,2.1630694353032554e-05,0.5901560524893333,0.0013249098694989834,2.3491933333333335,55.18908333333333,0.05,5.050999380238087e-18,30
mesh16,random,2,0.12461333333333333,0.0011494441752563063,0.9703404235124129,3.1474628280699904e-05,0.6779558745581333,0.0012375184223050609,4.87118,114.44642999999999,0.01,6.313749225297609e-19,30
mesh16,ga_tcheby_proxy,2,0.12457666666666666,0.001460414561623091,0.9720943036041724,3.297696439991781e-05,0.5346118793324333,0.0012583500080464495,2.3434666666666666,55.05361666666667,0.5,0.0,30
mesh16,distance,5,0.27962333333333333,0.0019239533502919497,0.9697681035716467,5.9792796058306906e-05,0.41437294455483337,0.0015795672829028156,1.92774,45.263889999999996,0.02,1.2627498450595217e-18,30
mesh16,keyaware,5,0.27962333333333333,0.0019239533502919497,0.9704189809280367,5.771838459607282e-05,0.45725111937946666,0.0015676225563304226,1.92774,45.263889999999996,0.05,5.050999380238087e-18,30
mesh16,random,5,0.28053,0.0017923622083655447,0.9678084509023248,6.012951779542657e-05,0.5346370835572334,0.0018465160989143384,3.95515,92.88631000000001,0.01,6.313749225297609e-19,30
mesh16,ga_tcheby_proxy,5,0.2823833333333334,0.0018448306213460176,0.9704367532149614,4.785084567492257e-05,0.41026856956136665,0.0014391889391472304,1.9315399999999998,45.35057,0.5,0.0,30
mesh16,distance,10,0.4802266666666667,0.002087191537087678,0.9662925797934502,9.033186460710593e-05,0.2652184807376333,0.0016267025868127595,1.4054566666666666,32.97214666666667,0.02,1.2627498450595217e-18,30
mesh16,keyaware,10,0.4802266666666667,0.0020875511556445628,0.967539692438487,7.586711043071883e-05,0.2969944465541,0.0018189970171816586,1.4054399999999998,32.97177,0.05,5.050999380238087e-18,30
mesh16,random,10,0.48097666666666666,0.0020376434862012156,0.963419765795773,0.00010282511119714338,0.35562294419063334,0.0017813788595501794,2.8010366666666666,65.75929666666667,0.01,6.313749225297609e-19,30
mesh16,ga_tcheby_proxy,10,0.48007000000000005,0.0017083045856173828,0.9675713855582845,7.632915852521923e-05,0.2621035131672,0.0012174850865188183,1.3979466666666667,32.80448666666667,0.5,0.0,30
mesh16,distance,20,0.72011,0.0013820480334983101,0.9590238900819454,0.00021944168413336372,0.10706229018656667,0.0008188130682095574,0.7617433333333333,17.861573333333336,0.02,1.2627498450595217e-18,30
mesh16,keyaware,20,0.7201066666666667,0.0013845564881261629,0.9612087166610066,0.0002038541676565712,0.12168687173556667,0.0009054220472153597,0.76173,17.86126,0.05,5.050999380238087e-18,30
mesh16,random,20,0.72162,0.0013690810328401922,0.9547982091679466,0.0001910321319064971,0.1551210563249,0.0010843423159124517,1.45129,34.05625,0.01,6.313749225297609e-19,30
mesh16,ga_tcheby_proxy,20,0.7202433333333332,0.001809904120743287,0.9614559084690519,0.00016529631700845063,0.10544429909193333,0.0010832567595676277,0.7579433333333333,17.771383333333333,0.5,0.0,30
mesh16,distance,40,0.90849,0.0009188578687634497,0.9445292030498066,0.00038423968388821177,0.017868941510900002,0.00034019907097994004,0.2543666666666667,5.970156666666667,0.02,1.2627498450595217e-18,30
mesh16,keyaware,40,0.90847,0.0009176941849066591,0.947717816323727,0.00037925803956938975,0.019447695063733332,0.00038789278554932186,0.25444666666666665,5.9721166666666665,0.05,5.050999380238087e-18,30
mesh16,random,40,0.91008,0.0011987001450325906,0.9391801341341937,0.000314379570918002,0.0281967018069,0.0006285613894314369,0.43706,10.259649999999999,0.01,6.313749225297609e-19,30
mesh16,ga_tcheby_proxy,40,0.9095,0.001017361383141727,0.9480608763826361,0.00035805154779462196,0.017018384113600002,0.0003708471779615996,0.24784666666666666,5.817296666666667,0.5,0.0,30
irregular12,distance,2,0.14169,0.0013387485575080498,0.9680502728578512,4.620579300021477e-05,0.5758292790431334,0.0013499483260660313,1.8950733333333334,47.28923666666667,0.02,1.2627498450595217e-18,30
irregular12,keyaware,2,0.14169,0.0013387485575080498,0.9682039802681167,4.6091987753961946e-05,0.5764013044405666,0.0013867985974290163,1.89507,47.29212333333333,0.05,5.050999380238087e-18,30
irregular12,random,2,0.14212999999999998,0.0009710899320309902,0.962456738078371,4.20873863066742e-05,0.6816167910261,0.001194320627593443,4.43638,113.86786666666667,0.01,6.313749225297609e-19,30
irregular12,ga_tcheby_proxy,2,0.14117333333333332,0.0012649977138076954,0.9674754698049187,3.454303115075941e-05,0.5615554115712666,0.0011204102703315647,1.8971833333333334,48.08723333333333,0.5,0.0,30
irregular12,distance,5,0.3084233333333334,0.0016469117340090985,0.9654326203500143,6.494239991230399e-05,0.43907037565883333,0.0016082280631864432,1.5432866666666667,38.24727333333333,0.02,1.2627498450595217e-18,30
irregular12,keyaware,5,0.3084233333333334,0.0016469117340090985,0.9656786914195039,6.44686318471231e-05,0.4396198565887,0.0016383163350314322,1.5432833333333333,38.254760000000005,0.05,5.050999380238087e-18,30
irregular12,random,5,0.30929666666666666,0.0015812775104023374,0.9584171737531979,9.205700429488812e-05,0.5262063620844,0.0014457222694169859,3.4581633333333333,88.36433333333333,0.01,6.313749225297609e-19,30
irregular12,ga_tcheby_proxy,5,0.30760666666666664,0.001391428115227928,0.9649454396117286,9.015226342545593e-05,0.4257110141489333,0.0011129899061896186,1.54044,38.84233,0.5,0.0,30
irregular12,distance,10,0.5052233333333334,0.001852130763570431,0.9611322745091292,0.00012028029902915047,0.28270437805976667,0.0016296464678306002,1.1089,27.287456666666667,0.02,1.2627498450595217e-18,30
irregular12,keyaware,10,0.5052233333333334,0.001852130763570431,0.9614692071232466,0.00011816159359092165,0.2828097377675667,0.0016554051570759028,1.1088666666666667,27.300296666666668,0.05,5.050999380238087e-18,30
irregular12,random,10,0.5054666666666666,0.0016125741008249338,0.9525071527175711,0.00011415893963906755,0.3482736336938667,0.0015914963200154445,2.3663466666666664,60.15435333333333,0.01,6.313749225297609e-19,30
irregular12,ga_tcheby_proxy,10,0.5062433333333334,0.0013994575853451495,0.9606670736878146,8.530457558756632e-05,0.272413676553,0.0011305024817229103,1.10608,27.69632,0.5,0.0,30
irregular12,distance,20,0.72619,0.0016192148328565037,0.9526969111692599,0.0001575723841701407,0.12391975742813334,0.0010934694013323971,0.62181,15.211366666666667,0.02,1.2627498450595217e-18,30
irregular12,keyaware,20,0.7261866666666666,0.0016203974733998918,0.9532198644917501,0.00015652271260901978,0.1236591678205,0.0010910607122453897,0.6217433333333333,15.23109,0.05,5.050999380238087e-18,30
irregular12,random,20,0.7281433333333334,0.0016060534645151866,0.9430289147999958,0.00016509945129838675,0.1598531716488,0.0014491174527325708,1.2170633333333332,30.775583333333334,0.01,6.313749225297609e-19,30
irregular12,ga_tcheby_proxy,20,0.7269766666666667,0.001658347391565198,0.9525886071558695,0.0001766664842279867,0.11956806163693333,0.0011336129144262966,0.6182366666666667,15.321613333333334,0.5,0.0,30
irregular12,distance,40,0.8997166666666666,0.0010778497979649973,0.9401293003961786,0.0003512603419059987,0.0263359312364,0.0005634128053439566,0.23085333333333333,5.670706666666666,0.02,1.2627498450595217e-18,30
irregular12,keyaware,40,0.8997166666666666,0.0010778497979649973,0.9408383793145745,0.0003542167881339451,0.0264961781036,0.0005697218984544687,0.23080666666666666,5.68764,0.05,5.050999380238087e-18,30
irregular12,random,40,0.9002433333333334,0.0009594953593813401,0.9314078931299936,0.0002995269767139006,0.038426887768533334,0.0005177257403310286,0.40543666666666667,10.23418,0.01,6.313749225297609e-19,30
irregular12,ga_tcheby_proxy,40,0.89942,0.0010975919539934957,0.940666466202613,0.0003694362362222022,0.02637816288493333,0.0004835230890952952,0.23025333333333334,5.674989999999999,0.5,0.0,30
